Repo,MergeCommit,File,Diff3_Conflict,CSDiff_Conflict,CSDiff_Equals_Diff3,CSDiff_Equals_Manual
stack,2caf0e0,src/Stack/Build/Installed.hs,1,1,False,False
stack,2caf0e0,src/Stack/SourceMap.hs,2,6,False,False
stack,c629fc5,src/Stack/IDE.hs,2,14,False,False
stack,c629fc5,src/main/Main.hs,2,10,False,False
stack,d7c7c5d,subs/pantry/src/Pantry/Storage.hs,2,2,False,False
stack,febd098,src/Stack/Config.hs,1,1,False,False
stack,49578e5,src/Stack/Package.hs,1,4,False,False
stack,49578e5,test/integration/lib/StackTest.hs,2,2,False,False
stack,cd408cc,src/Stack/Runners.hs,5,2,False,False
stack,cd408cc,src/Stack/Setup.hs,2,2,False,False
stack,cd408cc,src/Stack/Types/Config.hs,1,1,False,False
stack,cd408cc,src/main/Main.hs,1,2,False,False
stack,4edfa43,src/Stack/Package.hs,7,9,False,False
stack,4edfa43,src/Stack/SDist.hs,1,1,False,False
stack,4edfa43,src/Stack/Types/BuildPlan.hs,2,1,False,False
stack,4edfa43,test/integration/tests/cabal-solver/Main.hs,1,1,False,False
stack,a0d2857,src/Stack/IDE.hs,1,1,False,False
stack,a0d2857,src/Stack/Package.hs,1,1,False,False
stack,a0d2857,src/main/Main.hs,1,1,False,False
stack,f1169e3,src/Stack/Config.hs,2,2,False,False
stack,f1169e3,src/Stack/Options/Completion.hs,1,2,False,False
stack,f1169e3,src/Stack/Options/GlobalParser.hs,1,1,False,False
stack,f1169e3,src/Stack/Types/Config.hs,3,3,False,False
stack,f1169e3,src/Stack/Types/Runner.hs,1,1,False,False
stack,f1169e3,src/main/Main.hs,1,0,False,False
stack,238a9ee,subs/pantry/src/Pantry/Types.hs,1,4,False,False
stack,b920393,src/Stack/Config.hs,1,2,False,False
stack,b920393,src/Stack/Ls.hs,1,1,False,False
stack,b920393,src/Stack/Types/Runner.hs,1,1,False,False
stack,b920393,src/test/Stack/ConfigSpec.hs,1,0,False,True
stack,b920393,src/test/Stack/NixSpec.hs,1,0,False,True
stack,6766c70,src/Stack/Build.hs,3,4,False,False
stack,6766c70,src/Stack/Build/ConstructPlan.hs,6,19,False,False
stack,6766c70,src/Stack/Build/Execute.hs,5,5,False,False
stack,6766c70,src/Stack/Build/Source.hs,5,12,False,False
stack,6766c70,src/Stack/Ghci.hs,1,1,False,False
stack,6766c70,src/Stack/Hoogle.hs,2,2,False,False
stack,6766c70,src/Stack/SDist.hs,2,4,False,False
stack,6766c70,src/Stack/Script.hs,1,1,False,False
stack,6766c70,src/Stack/Setup.hs,1,1,False,False
stack,6766c70,src/Stack/Types/Package.hs,5,11,False,False
stack,6766c70,src/Stack/Upgrade.hs,1,1,False,False
stack,6766c70,src/main/Main.hs,4,9,False,False
stack,6766c70,test/integration/lib/StackTest.hs,7,7,False,False
stack,cfb96c2,src/Stack/Build/ConstructPlan.hs,8,7,False,False
stack,cfb96c2,src/Stack/Ghci.hs,1,1,False,False
stack,cfb96c2,src/Stack/Package.hs,2,2,False,False
stack,cfb96c2,src/Stack/PrettyPrint.hs,2,2,False,False
stack,cfb96c2,src/Stack/Types/Runner.hs,1,1,False,False
